domain,count,harmless,malicious,suspicious,timeout,undetected
avnam.net,2,0,0,0,0,0
leopard.es,2,0,0,0,0,0
on4uglobalservices.com,4,0,0,0,0,0
alcoceroptico.com,2,0,0,0,0,0
globalreloaded.com,2,0,0,0,0,0
seseo.es,2,0,0,0,0,0
lilithro.com,2,0,0,0,0,0
pw-digital.net,2,0,0,0,0,0
redes.name,4,0,0,0,0,0
mailgreenunited.com,2,0,0,0,0,0
net.comusys.net,4,0,0,0,0,0
barbafeitado.com,2,0,0,0,0,0
cortesdepelohombre.es,2,0,0,0,0,0
regalosparahombre.es,2,0,0,0,0,0
develecb.com,2,0,0,0,0,0
ovh.nayadegroup.com,2,0,0,0,0,0
tirale.com,2,0,0,0,0,0
downby.net,4,0,0,0,0,0
isotools.org,4,0,0,0,0,0
synergias.net,2,0,0,0,0,0
insociality.com,2,0,0,0,0,0
33.161.247.static.secmgmt.net,2,0,0,0,0,0
grupodixital.es,2,0,0,0,0,0
tandem-server.com,2,0,0,0,0,0
ip-178-33-162.eu,114,0,0,0,0,0
siscomingenieria.com,2,0,0,0,0,0
radiomarmolejo.com,2,0,0,0,0,0
denemax.es,2,0,0,0,0,0
ehosting.es,2,0,0,0,0,0
viapyme.net,2,0,0,0,0,0
bernatllabres.com,2,0,0,0,0,0
bnnt.eu,2,0,0,0,0,0
feda.es,2,0,0,0,0,0
gumersilda.com,2,0,0,0,0,0
sheerlock.net,2,0,0,0,0,0
abogadea.com,2,0,0,0,0,0
yayin.com.tr,4,0,0,0,0,0
dsxare.net,4,0,0,0,0,0
multalitas.com,2,0,0,0,0,0
soyweb.com,2,0,0,0,0,0
telegim.com,2,0,0,0,0,0
indeviasistemas.es,2,0,0,0,0,0
enred-a.com,4,0,0,0,0,0
adex-group.com,2,0,0,0,0,0
servicepoint.es,2,0,0,0,0,0
inpq.com,2,0,0,0,0,0
fazer-hispania.com,2,0,0,0,0,0
pioletspark.com,2,0,0,0,0,0
spainservers.com,2,0,0,0,0,0
maustec-servers.com,6,0,0,0,0,0
kernet.es,4,0,0,0,0,0
futurasp.es,2,0,0,0,0,0
adventonlineinc.com,2,0,0,0,0,0
djs.club,4,0,0,0,0,0
librebit.com,4,0,0,0,0,0
castingmarbella.com,2,0,0,0,0,0
digitaldisseny.com,2,0,0,0,0,0
orix.es,2,0,0,0,0,0
docilweb.com,2,0,0,0,0,0
madamefolie.com,2,0,0,0,0,0
alojalia.host,2,0,0,0,0,0
vino-vi.com,2,0,0,0,0,0
sofistic.net,4,0,0,0,0,0
hosted.sbit.io,2,0,0,0,0,0
cosasdns.com,2,0,0,0,0,0
ordendigital.net,2,0,0,0,0,0
arsonmeteringgprs.com,2,0,0,0,0,0
egunea.com,2,0,0,0,0,0
streamteca.com,2,0,0,0,0,0
cahams.com,2,0,0,0,0,0
icgiysim.com,2,0,0,0,0,0
lbmdisenoweb.com,6,0,0,0,0,0
ultimaentrada.com,2,0,0,0,0,0
copias365.com,2,0,0,0,0,0
barcelonesjove.net,2,0,0,0,0,0
l4py.com,2,0,0,0,0,0
llarserveis.l4py.com,2,0,0,0,0,0
ekhosting.net,2,0,0,0,0,0
clavemedia.com,2,0,0,0,0,0
seisbits.com,2,0,0,0,0,0
vgcomunicacion.net,6,0,0,0,0,0
topcallshop.com,2,0,0,0,0,0
ticserver.com,4,0,0,0,0,0
jovencitas.tube,2,0,0,0,0,0
